time  throughput
0     0.00
1     0.00
2     0.00
3     40.7
4     50.8
5     58.6
6     62.5
7     62.6
8     61.2
9     62.8
10    61.9
11    57.8
12    60.1
13    60.8
14    60.6
15    60.9
16    57.9
17    61.7
18    60.3
19    56.0
20    55.8
21    56.5
22    58.5
23    60.2
24    59.8
25    60.3
26    60.9
27    61.3
28    56.8
29    58.1
30    58.6
31    59.1
32    58.9
33    60.2
34    58.4
35    62.3
36    61.3
37    61.8
38    60.1
39    59.3
40    61.0
41    62.5
42    59.3
43    60.9
44    60.7
45    59.2
46    59.5
47    61.6
48    60.8
49    61.6
50    61.5
51    61.2
52    60.2
53    59.2
54    57.0
55    60.7
56    62.8
57    61.0
58    60.0
59    60.3
60    61.0
61    00.0
